x,u_numerical,u_analytical
0.00000000,0.96011543,0.95105652
0.50000000,0.98540814,1.00000000
1.00000000,0.91424223,0.95105652
1.50000000,0.75358392,0.80901699
2.00000000,0.51915957,0.58778525
2.50000000,0.23391626,0.30901699
3.00000000,-0.07422440,0.00000000
3.50000000,-0.37509946,-0.30901699
4.00000000,-0.63925718,-0.58778525
4.50000000,-0.84083994,-0.80901699
5.00000000,-0.96011543,-0.95105652
5.50000000,-0.98540814,-1.00000000
6.00000000,-0.91424223,-0.95105652
6.50000000,-0.75358392,-0.80901699
7.00000000,-0.51915957,-0.58778525
7.50000000,-0.23391626,-0.30901699
8.00000000,0.07422440,-0.00000000
8.50000000,0.37509946,0.30901699
9.00000000,0.63925718,0.58778525
9.50000000,0.84083994,0.80901699
10.00000000,0.96011543,0.95105652
10.50000000,0.98540814,1.00000000
11.00000000,0.91424223,0.95105652
11.50000000,0.75358392,0.80901699
12.00000000,0.51915957,0.58778525
12.50000000,0.23391626,0.30901699
13.00000000,-0.07422440,0.00000000
13.50000000,-0.37509946,-0.30901699
14.00000000,-0.63925718,-0.58778525
14.50000000,-0.84083994,-0.80901699
15.00000000,-0.96011543,-0.95105652
15.50000000,-0.98540814,-1.00000000
16.00000000,-0.91424223,-0.95105652
16.50000000,-0.75358392,-0.80901699
17.00000000,-0.51915957,-0.58778525
17.50000000,-0.23391626,-0.30901699
18.00000000,0.07422440,0.00000000
18.50000000,0.37509946,0.30901699
19.00000000,0.63925718,0.58778525
19.50000000,0.84083994,0.80901699
20.00000000,0.96011543,0.95105652
